time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
1570.000000,-26735849.154688,18849218.768087,-15380.239398,1492.584109,100000000000000004764729344.000000,1000000.000000,-84600370.813746,
1580.000000,-26889397.275197,18863965.637411,-15329.440113,1456.858166,100000000000000004764729344.000000,1000000.000000,-84600370.813805,
1590.000000,-27042439.058242,18878357.287601,-15278.971218,1421.539087,100000000000000004764729344.000000,1000000.000000,-84600370.813862,
1600.000000,-27194977.787222,18892397.751699,-15228.828624,1386.619781,100000000000000004764729344.000000,1000000.000000,-84600370.813916,
1610.000000,-27347016.704985,18906090.992695,-15179.008311,1352.093326,100000000000000004764729344.000000,1000000.000000,-84600370.813969,
1620.000000,-27498559.014511,18919440.905161,-15129.506324,1317.952961,100000000000000004764729344.000000,1000000.000000,-84600370.814020,
1630.000000,-27649607.879579,18932451.316854,-15080.318776,1284.192083,100000000000000004764729344.000000,1000000.000000,-84600370.814069,
1640.000000,-27800166.425418,18945125.990259,-15031.441846,1250.804241,100000000000000004764729344.000000,1000000.000000,-84600370.814117,
1650.000000,-27950237.739351,18957468.624093,-14982.871774,1217.783131,100000000000000004764729344.000000,1000000.000000,-84600370.814163,
1660.000000,-28099824.871421,18969482.854768,-14934.604862,1185.122594,100000000000000004764729344.000000,1000000.000000,-84600370.814207,
1670.000000,-28248930.835004,18981172.257807,-14886.637476,1152.816612,100000000000000004764729344.000000,1000000.000000,-84600370.814249,
1680.000000,-28397558.607415,18992540.349221,-14838.966037,1120.859300,100000000000000004764729344.000000,1000000.000000,-84600370.814291,
1690.000000,-28545711.130493,19003590.586852,-14791.587028,1089.244907,100000000000000004764729344.000000,1000000.000000,-84600370.814330,
1700.000000,-28693391.311185,19014326.371667,-14744.496987,1057.967810,100000000000000004764729344.000000,1000000.000000,-84600370.814369,
1710.000000,-28840602.022111,19024751.049030,-14697.692511,1027.022511,100000000000000004764729344.000000,1000000.000000,-84600370.814406,
